trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1513,False,"{'a': 0.2, 'e': 0.22024824112705108}",20,10,20.467048187372953,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1514,False,"{'a': 0.2, 'e': 0.22002810297334574}",20,7,-16.47239319614861,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
1515,False,"{'a': 0.2, 'e': 0.21980818484776168}",25,8,17.124594930268024,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
1516,False,"{'a': 0.2, 'e': 0.21958848653038082}",25,13,9.493538219531265,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1517,False,"{'a': 0.2, 'e': 0.21936900780150476}",20,5,24.469941000614995,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1518,False,"{'a': 0.2, 'e': 0.2191497484416548}",20,14,10.340157497013864,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1519,False,"{'a': 0.2, 'e': 0.2189307082315715}",25,0,34.98357065519181,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
1520,False,"{'a': 0.2, 'e': 0.21871188695221475}",30,22,17.217322079938228,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1521,False,"{'a': 0.2, 'e': 0.21849328438476312}",20,13,0.8084011083344973,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
1522,False,"{'a': 0.2, 'e': 0.21827490031061414}",25,8,26.289448800619052,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1523,False,"{'a': 0.2, 'e': 0.2180567345113836}",20,11,-4.4858959277057,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
1524,False,"{'a': 0.2, 'e': 0.21783878676890578}",20,12,7.0960392653771045,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
1525,False,"{'a': 0.2, 'e': 0.21762105686523284}",25,11,-30.31666926627095,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
1526,False,"{'a': 0.2, 'e': 0.21740354458263497}",25,15,-4.206089803025479,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
1527,False,"{'a': 0.2, 'e': 0.21718624970359973}",25,16,16.205726738184648,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1528,False,"{'a': 0.2, 'e': 0.21696917201083235}",20,2,-24.62814883069781,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
1529,False,"{'a': 0.2, 'e': 0.216752311287255}",20,2,-2.543542806394766,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
1530,False,"{'a': 0.2, 'e': 0.21653566731600707}",20,11,-44.72893518006936,"{0: 5, 1: 3, 2: 0, 3: 0, 4: 1}",1
1531,False,"{'a': 0.2, 'e': 0.21631923988044444}",25,14,21.377461313369405,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1532,False,"{'a': 0.2, 'e': 0.21610302876413975}",20,11,-26.700300211277845,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
1533,False,"{'a': 0.2, 'e': 0.2158870337508818}",20,8,20.653834812604952,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1534,False,"{'a': 0.2, 'e': 0.21567125462467565}",30,12,-31.819463166579027,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
