trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
63,False,"{'a': 0.5, 'e': 0.35999999999999943}",25,12,7.0420772927493305,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.3499999999999994}",20,13,2.027850938369254,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.3399999999999994}",20,7,-18.550327802258494,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
66,False,"{'a': 0.5, 'e': 0.3299999999999994}",20,7,-62.75219554913257,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 1}",1
67,False,"{'a': 0.5, 'e': 0.3199999999999994}",20,0,-29.489535999336876,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.3099999999999994}",25,0,-42.33489130438755,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.2999999999999994}",25,11,22.23072461436397,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.28999999999999937}",35,22,8.412996977670058,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.27999999999999936}",20,0,14.91527915984537,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.26999999999999935}",25,11,-17.069708318385178,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.25999999999999934}",20,8,-22.380181966190715,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
74,False,"{'a': 0.5, 'e': 0.24999999999999933}",30,0,-49.112145544373845,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.23999999999999932}",25,4,3.0825261638301034,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.22999999999999932}",20,0,8.749948526956157,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.2199999999999993}",30,9,-63.683804606070474,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 1}",1
78,False,"{'a': 0.5, 'e': 0.2099999999999993}",25,8,-12.993978175312318,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
79,False,"{'a': 0.5, 'e': 0.1999999999999993}",20,0,29.462371376657035,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,5,35.46254948914515,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,14,11.91746985799836,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,4,15.599709270165494,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,2,-16.830455831739204,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",25,11,14.304099790185694,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,2,-56.24100540612086,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 2}",1
7,True,"{'a': 0, 'e': 0}",30,21,-5.974234947950199,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,0,-25.076932778204842,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,0,8.715273937583184,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,9,21.16365421751871,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
