trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1164,False,"{'a': 0.2, 'e': 0.31223474070801055}",25,0,-50.81001205554042,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
1165,False,"{'a': 0.2, 'e': 0.31192266203264674}",30,12,0.8152784831023623,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
1166,False,"{'a': 0.2, 'e': 0.31161089527997105}",25,20,9.484710848486943,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1167,False,"{'a': 0.2, 'e': 0.3112994401382165}",20,0,-31.372302074835666,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
1168,False,"{'a': 0.2, 'e': 0.3109882962959281}",20,0,6.450962944413761,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
1169,False,"{'a': 0.2, 'e': 0.31067746344196184}",25,20,7.495560466336811,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1170,False,"{'a': 0.2, 'e': 0.31036694126548503}",20,0,-14.36779579662801,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
1171,False,"{'a': 0.2, 'e': 0.31005672945597523}",20,10,15.992471447624109,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1172,False,"{'a': 0.2, 'e': 0.3097468277032208}",20,0,-38.78535792166782,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
1173,False,"{'a': 0.2, 'e': 0.30943723569731985}",20,0,-19.788632685146183,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",1
1174,False,"{'a': 0.2, 'e': 0.3091279531286804}",20,7,22.931029007471054,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1175,False,"{'a': 0.2, 'e': 0.30881897968801986}",30,0,-24.970895100535667,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
